Model,Manufacturer,Type,Description,Architecture,Real-Time,Streaming API,Batch/File,Parameters,Inference Engine (AMD GPU),AMD ROCm Support,Languages,License
Qwen2-Audio,Alibaba,Open Source,Multimodal LLM with audio understanding,Multimodal LLM,No,No,Yes,~8000M,PyTorch ROCm,Yes,Multilingual,Apache 2.0
Deepgram Nova-3,Deepgram,SaaS,Best-in-class streaming STT — purpose-built for real-time,Proprietary,Yes,Yes (WebSocket),Yes (pre-recorded API),Proprietary,N/A (cloud API),N/A,50+,Proprietary
Deepgram Nova-2,Deepgram,SaaS,Previous-gen Deepgram — still excellent accuracy,Proprietary,Yes,Yes (WebSocket),Yes (pre-recorded API),Proprietary,N/A (cloud API),N/A,36+,Proprietary
AssemblyAI Universal-2,AssemblyAI,SaaS,Feature-rich STT — diarization + summarization + sentiment,Proprietary,Yes (English),Yes (WebSocket),Yes,Proprietary,N/A (cloud API),N/A,20+,Proprietary
Google Chirp 2,Google,SaaS,Latest Google STT — streaming + batch via gRPC,Proprietary,Yes,Yes (StreamingRecognize),Yes (LongRunningRecognize),Proprietary,N/A (cloud API),N/A,125+,Proprietary
Azure Speech Service,Microsoft,SaaS,Mature enterprise STT — SDK-based streaming,Custom Neural / Whisper,Yes,Yes (SDK streaming),Yes (batch transcription),Proprietary,N/A (cloud API),N/A,100+,Proprietary
AWS Transcribe,Amazon,SaaS,AWS streaming STT — WebSocket/HTTP2,Proprietary,Yes,Yes (WebSocket/HTTP2),Yes (async jobs),Proprietary,N/A (cloud API),N/A,100+,Proprietary
Speechmatics Ursa 2,Speechmatics,SaaS,Strong multilingual real-time STT,Proprietary,Yes,Yes (WebSocket),Yes,Proprietary,N/A (cloud API),N/A,50+,Proprietary
Rev AI,Rev,SaaS,Streaming STT from human transcription company,Proprietary,Yes,Yes (WebSocket),Yes,Proprietary,N/A (cloud API),N/A,Multilingual,Proprietary
Picovoice Cheetah,Picovoice,SaaS/Edge,On-device streaming — ultra-low latency,Proprietary,Yes,Yes (native SDK),No (streaming only),Proprietary,N/A (on-device SDK),N/A,English,Proprietary
Picovoice Leopard,Picovoice,SaaS/Edge,On-device batch transcription — companion to Cheetah,Proprietary,No,No,Yes,Proprietary,N/A (on-device SDK),N/A,English,Proprietary
Gladia,Gladia,SaaS,Enhanced Whisper-based streaming — WebSocket API,Whisper-based + proprietary,Yes,Yes (WebSocket),Yes,Proprietary,N/A (cloud API),N/A,100+,Proprietary
OpenAI Whisper API,OpenAI,SaaS,Hosted Whisper large-v2 — file upload only,Whisper large-v2,No,No,Yes (25MB limit),Proprietary,N/A (cloud API),N/A,57,Proprietary
